"x" "y" "z"
"255" 1.58 52.02 7.86949996948242
"256" 1.58 52.03 14.7128001022339
"257" 1.58 52.04 17.1775999450684
"258" 1.58 52.05 17.4619998931885
"259" 1.59 50.77 5.03333338101705
"260" 1.59 50.78 8.46999988555908
"261" 1.59 50.79 11.9799999237061
"262" 1.59 50.8 11.7399998664856
"263" 1.59 50.81 8.80999989509582
"264" 1.59 50.82 NA
"265" 1.59 50.83 NA
"266" 1.59 50.84 NA
"267" 1.59 50.85 NA
"268" 1.59 50.86 NA
"269" 1.59 50.87 NA
"270" 1.59 50.88 6.73999994546175
"271" 1.59 50.89 16.3099998474121
"272" 1.59 50.9 22.0599998474121
"273" 1.59 50.91 23.4699998855591
"274" 1.59 50.92 28.1249998807907
"275" 1.59 50.93 29.1099999427795
"276" 1.59 50.94 34.2300005912781
"277" 1.59 50.95 38.7000007629395
"278" 1.59 50.96 46.6200008392334
"279" 1.59 50.97 42.8875007629395
"280" 1.59 50.98 42.3290002822876
"281" 1.59 50.99 40.9759998321533
"282" 1.59 51 41.4434999465942
"283" 1.59 51.01 41.1859998703003
"284" 1.59 51.02 44.3512499332428
"285" 1.59 51.03 40.9215000152588
"286" 1.59 51.04 35.3065002441406
"287" 1.59 51.05 34.7145000457764
"288" 1.59 51.06 33.6765000343323
"289" 1.59 51.07 34.2224996089935
"290" 1.59 51.08 35.9245000839233
"291" 1.59 51.09 40.4279998779297
"292" 1.59 51.1 46.1789999008179
"293" 1.59 51.11 46.0554996490479
"294" 1.59 51.12 43.9856250286102
"295" 1.59 51.13 43.9930000305176
"296" 1.59 51.14 44.7779996871948
"297" 1.59 51.15 47.7619998931885
"298" 1.59 51.16 49.4915002822876
"299" 1.59 51.17 49.631875038147
"300" 1.59 51.18 50.2594997406006
"301" 1.59 51.19 50.2844999313354
"302" 1.59 51.2 50.4980001449585
"303" 1.59 51.21 51.6099998474121
"304" 1.59 51.22 50.743124961853
"305" 1.59 51.23 45.6309995651245
"306" 1.59 51.24 37.3920001029968
"307" 1.59 51.25 26.1095000267029
"308" 1.59 51.26 20.1754997730255
"309" 1.59 51.27 20.7775002121925
"310" 1.59 51.28 21.1255000114441
"311" 1.59 51.29 18.9760000228882
"312" 1.59 51.3 18.3425000190735
"313" 1.59 51.31 17.715500164032
"314" 1.59 51.32 16.7143751978874
"315" 1.59 51.33 16.1010000228882
"316" 1.59 51.34 16.7115000247955
"317" 1.59 51.35 16.5929999351501
"318" 1.59 51.36 15.4360000133514
"319" 1.59 51.37 16.1843750476837
"320" 1.59 51.38 16.0039999485016
"321" 1.59 51.39 15.6624999523163
"322" 1.59 51.4 15.9654999732971
"323" 1.59 51.41 15.6605001926422
"324" 1.59 51.42 16.536875128746
"325" 1.59 51.43 19.6619998931885
"326" 1.59 51.44 18.6004999160767
"327" 1.59 51.45 20.2510000228882
"328" 1.59 51.46 21.4940000534058
"329" 1.59 51.47 22.0287500619888
"330" 1.59 51.48 22.2229998588562
"331" 1.59 51.49 21.7669998168945
"332" 1.59 51.5 22.3454999923706
"333" 1.59 51.51 22.3900000572205
