"Deployment_fk"	"Time"	"Species"	"Milliseconds"	"Number_clicks_filtered"	"Number_clicks_total"	"Lost_minutes"	"Recorded"	"Dpm"	"Dp10m"	"Station"	"Latitude"	"Longitude"	"Mooring_type"	"Receiver"
2578	2016-01-05 07:00:00	"NBHF"	566	18	2606	0	60	2	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 08:00:00	"NBHF"	46906	1692	9281	0	60	21	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 09:00:00	"NBHF"	10107	98	2584	0	60	3	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 10:00:00	"NBHF"	605	65	2358	0	60	2	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 11:00:00	"NBHF"	49015	1296	9791	0	60	10	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 12:00:00	"NBHF"	3201	186	5400	0	60	8	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 13:00:00	"NBHF"	25182	974	7084	0	60	19	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 14:00:00	"NBHF"	0	0	2883	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 15:00:00	"NBHF"	10563	247	3749	0	60	4	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 16:00:00	"NBHF"	0	0	1914	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
